Airline,Date_of_Journey,Source,Destination,Dep_Time,Duration,Total_Stops,Additional_Info,Price,Arrival_Time
IndiGo,2024-10-29,Mumbai,Kolkata,02:58,1h 18m,3 stops,No Info,4668,04:16
IndiGo,2024-11-06,Pune,Kolkata,13:32,5h 54m,1 stop,No Info,3753,19:26
Vistara,2025-04-05,Bangalore,Pune,17:36,8h 40m,2 stops,No Info,4346,02:16
AirAsia,2025-03-21,Hyderabad,Pune,09:08,2h 29m,non-stop,No Info,3177,11:37
Air India,2025-01-20,Pune,Hyderabad,17:12,5h 15m,1 stop,In-flight meal not included,11088,22:27
SpiceJet,2024-11-22,Bangalore,Pune,11:23,7h 41m,1 stop,No Info,9363,19:04
Alliance Air,2025-03-27,Mumbai,Hyderabad,00:22,2h 13m,1 stop,No Info,14853,02:35
Alliance Air,2025-07-16,Mumbai,Kolkata,07:48,6h 45m,1 stop,No Info,10445,14:33
GoAir,2025-02-01,Pune,Jaipur,17:20,2h 49m,3 stops,In-flight meal not included,11541,20:09
Vistara,2025-07-13,Chennai,Bangalore,14:12,4h 49m,2 stops,No check-in baggage included,7046,19:01
Vistara,2025-04-06,Pune,Mumbai,01:08,9h 21m,3 stops,No check-in baggage included,6886,10:29
SpiceJet,2025-07-14,Pune,Kolkata,01:53,3h 10m,non-stop,No Info,2401,05:03
IndiGo,2025-07-05,Pune,Bangalore,14:37,2h 26m,non-stop,No Info,14509,17:03
AirAsia,2025-01-07,Kolkata,Mumbai,13:25,7h 46m,1 stop,No check-in baggage included,11687,21:11
SpiceJet,2025-06-28,Delhi,Hyderabad,03:55,3h 29m,non-stop,No Info,7704,07:24
AirAsia,2024-09-05,Jaipur,Delhi,20:08,8h 3m,3 stops,No Info,6951,04:11
Air India,2024-12-31,Kolkata,Delhi,09:01,9h 34m,non-stop,No Info,11720,18:35
GoAir,2025-04-10,Delhi,Jaipur,07:48,4h 19m,1 stop,No Info,6710,12:07
GoAir,2025-08-30,Kolkata,Hyderabad,00:24,4h 5m,non-stop,No check-in baggage included,9429,04:29
Air India,2025-07-21,Chennai,Jaipur,00:43,6h 26m,2 stops,No check-in baggage included,2923,07:09
AirAsia,2025-06-13,Mumbai,Kolkata,01:33,2h 35m,2 stops,No check-in baggage included,9673,04:08
Alliance Air,2024-11-24,Jaipur,Delhi,12:49,4h 25m,2 stops,No Info,12883,17:14
GoAir,2025-05-13,Hyderabad,Chennai,11:53,7h 29m,non-stop,No Info,11819,19:22
Alliance Air,2024-12-15,Jaipur,Hyderabad,16:41,8h 17m,2 stops,No Info,8283,00:58
Air India,2025-08-03,Delhi,Pune,02:02,5h 19m,1 stop,In-flight meal not included,13624,07:21
Alliance Air,2024-11-16,Pune,Hyderabad,22:01,4h 57m,3 stops,No check-in baggage included,11419,02:58
Air India,2025-02-08,Jaipur,Delhi,19:08,7h 13m,non-stop,No check-in baggage included,4480,02:21
Air India,2025-01-26,Kolkata,Jaipur,08:12,8h 12m,non-stop,In-flight meal not included,3759,16:24
Vistara,2024-09-18,Delhi,Bangalore,22:20,1h 30m,1 stop,No check-in baggage included,6102,23:50
Alliance Air,2024-11-10,Chennai,Kolkata,16:25,7h 29m,3 stops,No check-in baggage included,14324,23:54
GoAir,2025-03-25,Pune,Hyderabad,17:57,2h 10m,1 stop,No Info,10722,20:07
AirAsia,2024-12-08,Delhi,Chennai,02:54,9h 8m,non-stop,No check-in baggage included,7380,12:02
Vistara,2024-09-23,Chennai,Kolkata,19:43,7h 59m,3 stops,In-flight meal not included,14356,03:42
AirAsia,2024-09-02,Jaipur,Bangalore,22:13,2h 37m,3 stops,No Info,8176,00:50
Alliance Air,2025-04-30,Chennai,Hyderabad,19:51,5h 31m,non-stop,No check-in baggage included,10298,01:22
SpiceJet,2024-10-28,Jaipur,Hyderabad,07:52,1h 42m,3 stops,No check-in baggage included,14869,09:34
GoAir,2025-04-01,Mumbai,Hyderabad,13:11,3h 35m,3 stops,No Info,12727,16:46
IndiGo,2024-09-23,Bangalore,Chennai,00:48,1h 23m,3 stops,No Info,2225,02:11
SpiceJet,2025-02-13,Delhi,Hyderabad,22:03,8h 32m,3 stops,No check-in baggage included,6138,06:35
Air India,2025-05-01,Chennai,Pune,05:56,1h 15m,1 stop,No Info,4481,07:11
Air India,2025-06-01,Pune,Jaipur,23:47,1h 17m,2 stops,In-flight meal not included,8153,01:04
IndiGo,2024-10-30,Chennai,Kolkata,18:37,3h 36m,2 stops,No Info,9604,22:13
GoAir,2025-07-24,Hyderabad,Mumbai,14:07,6h 11m,1 stop,No check-in baggage included,3622,20:18
GoAir,2024-11-23,Bangalore,Hyderabad,07:49,6h 9m,2 stops,No check-in baggage included,13284,13:58
GoAir,2024-10-11,Delhi,Kolkata,08:23,7h 45m,3 stops,In-flight meal not included,9601,16:08
AirAsia,2025-05-14,Mumbai,Pune,05:11,8h 47m,2 stops,No Info,7175,13:58
SpiceJet,2025-03-12,Jaipur,Mumbai,18:27,9h 19m,non-stop,No check-in baggage included,5957,03:46
Alliance Air,2025-05-12,Mumbai,Delhi,21:15,6h 47m,2 stops,In-flight meal not included,5038,04:02
Air India,2025-01-10,Delhi,Mumbai,12:37,5h 15m,non-stop,No check-in baggage included,12336,17:52
AirAsia,2025-02-21,Chennai,Kolkata,20:08,9h 4m,non-stop,In-flight meal not included,13189,05:12
SpiceJet,2024-11-16,Chennai,Bangalore,09:27,1h 8m,2 stops,No check-in baggage included,8397,10:35
Vistara,2025-01-31,Kolkata,Delhi,09:45,2h 23m,1 stop,No Info,3139,12:08
SpiceJet,2024-09-04,Mumbai,Delhi,15:04,1h 29m,2 stops,No check-in baggage included,12209,16:33
AirAsia,2025-07-14,Hyderabad,Delhi,04:52,1h 26m,non-stop,No check-in baggage included,3533,06:18
AirAsia,2025-01-30,Kolkata,Pune,09:10,7h 2m,non-stop,No check-in baggage included,11158,16:12
AirAsia,2025-07-27,Bangalore,Chennai,02:08,3h 16m,non-stop,No Info,8478,05:24
SpiceJet,2024-11-19,Jaipur,Bangalore,08:55,7h 45m,3 stops,No Info,5733,16:40
IndiGo,2024-11-09,Kolkata,Hyderabad,12:32,1h 10m,non-stop,No Info,4164,13:42
Alliance Air,2025-07-23,Jaipur,Kolkata,04:28,5h 26m,3 stops,No Info,8809,09:54
GoAir,2025-04-26,Jaipur,Delhi,21:40,1h 33m,2 stops,No check-in baggage included,4638,23:13
IndiGo,2025-03-26,Pune,Jaipur,20:08,4h 44m,3 stops,No check-in baggage included,9028,00:52
Alliance Air,2025-05-18,Jaipur,Bangalore,05:39,2h 59m,1 stop,No check-in baggage included,9426,08:38
Air India,2025-02-16,Chennai,Delhi,04:57,8h 48m,2 stops,No check-in baggage included,6591,13:45
Vistara,2025-08-06,Mumbai,Hyderabad,05:57,2h 49m,non-stop,No check-in baggage included,14937,08:46
IndiGo,2024-10-11,Delhi,Hyderabad,11:38,2h 49m,3 stops,No check-in baggage included,2978,14:27
AirAsia,2025-07-18,Jaipur,Bangalore,05:21,9h 11m,2 stops,In-flight meal not included,10993,14:32
Air India,2025-02-27,Pune,Hyderabad,17:11,3h 48m,2 stops,In-flight meal not included,5179,20:59
Air India,2024-11-13,Hyderabad,Jaipur,15:32,2h 41m,1 stop,In-flight meal not included,11991,18:13
SpiceJet,2025-02-03,Mumbai,Kolkata,22:46,4h 54m,non-stop,No check-in baggage included,3277,03:40
Alliance Air,2024-11-21,Pune,Jaipur,03:15,9h 56m,1 stop,No check-in baggage included,14149,13:11
SpiceJet,2025-04-18,Mumbai,Chennai,16:20,6h 10m,1 stop,No Info,3889,22:30
Air India,2025-02-24,Chennai,Jaipur,11:24,1h 50m,non-stop,No check-in baggage included,8592,13:14
GoAir,2025-02-23,Delhi,Hyderabad,11:01,7h 48m,1 stop,No Info,4486,18:49
GoAir,2025-03-06,Pune,Chennai,14:05,3h 41m,non-stop,No Info,9061,17:46
Alliance Air,2025-07-26,Delhi,Mumbai,13:32,7h 32m,2 stops,In-flight meal not included,6303,21:04
Alliance Air,2024-12-05,Pune,Kolkata,21:35,5h 2m,3 stops,No Info,6304,02:37
AirAsia,2025-08-25,Mumbai,Bangalore,02:00,6h 32m,non-stop,No Info,3631,08:32
IndiGo,2025-05-16,Mumbai,Hyderabad,19:35,8h 53m,2 stops,In-flight meal not included,9201,04:28
Alliance Air,2024-10-30,Delhi,Pune,04:35,2h 14m,1 stop,In-flight meal not included,12558,06:49
GoAir,2024-11-17,Mumbai,Pune,02:11,8h 38m,1 stop,In-flight meal not included,12624,10:49
SpiceJet,2025-04-27,Hyderabad,Pune,00:07,4h 20m,1 stop,In-flight meal not included,13882,04:27
Alliance Air,2025-02-19,Delhi,Jaipur,08:29,5h 40m,1 stop,In-flight meal not included,2740,14:09
Alliance Air,2024-12-20,Jaipur,Kolkata,08:30,7h 5m,1 stop,In-flight meal not included,11707,15:35
SpiceJet,2025-06-22,Pune,Jaipur,05:47,1h 3m,3 stops,No check-in baggage included,8542,06:50
Vistara,2025-02-02,Bangalore,Kolkata,22:41,7h 47m,2 stops,In-flight meal not included,3734,06:28
Vistara,2025-07-08,Hyderabad,Mumbai,12:44,9h 23m,non-stop,In-flight meal not included,10229,22:07
GoAir,2025-01-14,Jaipur,Hyderabad,06:32,8h 6m,1 stop,In-flight meal not included,10857,14:38
SpiceJet,2025-04-11,Pune,Chennai,22:13,2h 10m,non-stop,No check-in baggage included,5919,00:23
SpiceJet,2024-09-13,Delhi,Jaipur,21:44,2h 9m,1 stop,No check-in baggage included,3731,23:53
IndiGo,2025-08-29,Kolkata,Bangalore,05:19,7h 13m,non-stop,In-flight meal not included,4713,12:32
Alliance Air,2025-05-22,Hyderabad,Pune,10:20,6h 27m,non-stop,No check-in baggage included,8042,16:47
Vistara,2025-03-26,Pune,Mumbai,20:42,8h 8m,2 stops,No check-in baggage included,9752,04:50
GoAir,2024-11-24,Chennai,Hyderabad,18:04,7h 8m,1 stop,In-flight meal not included,3804,01:12
Vistara,2024-10-15,Hyderabad,Pune,06:08,3h 34m,3 stops,No Info,7257,09:42
Alliance Air,2024-09-30,Pune,Bangalore,09:53,3h 56m,2 stops,No Info,12329,13:49
Air India,2025-08-10,Delhi,Hyderabad,04:45,6h 54m,2 stops,In-flight meal not included,6466,11:39
SpiceJet,2024-09-18,Chennai,Pune,09:58,4h 53m,3 stops,No Info,10051,14:51
Vistara,2025-03-07,Kolkata,Bangalore,07:27,7h 49m,1 stop,No check-in baggage included,3261,15:16
AirAsia,2025-03-31,Bangalore,Kolkata,02:00,2h 39m,2 stops,No Info,14520,04:39
Alliance Air,2024-10-31,Hyderabad,Jaipur,20:42,8h 4m,2 stops,No Info,11914,04:46
Air India,2025-04-01,Jaipur,Hyderabad,11:37,2h 1m,non-stop,In-flight meal not included,8341,13:38
IndiGo,2024-10-20,Pune,Mumbai,21:19,9h 44m,non-stop,In-flight meal not included,8479,07:03
SpiceJet,2024-10-31,Chennai,Mumbai,06:42,9h 21m,3 stops,No check-in baggage included,14303,16:03
IndiGo,2025-04-08,Mumbai,Hyderabad,19:44,9h 17m,non-stop,No Info,2323,05:01
Air India,2025-03-26,Chennai,Mumbai,08:55,2h 10m,non-stop,No Info,14161,11:05
GoAir,2025-03-02,Hyderabad,Bangalore,23:58,4h 4m,non-stop,No Info,3742,04:02
AirAsia,2024-10-19,Chennai,Mumbai,18:45,4h 55m,1 stop,In-flight meal not included,3019,23:40
Alliance Air,2025-05-20,Bangalore,Pune,15:13,3h 16m,3 stops,No Info,4303,18:29
Alliance Air,2025-03-04,Kolkata,Jaipur,05:33,5h 56m,non-stop,No check-in baggage included,12287,11:29
Air India,2024-11-29,Hyderabad,Kolkata,12:34,4h 2m,3 stops,In-flight meal not included,7724,16:36
Air India,2025-03-30,Jaipur,Hyderabad,17:55,4h 7m,1 stop,No Info,7582,22:02
Alliance Air,2024-11-29,Chennai,Bangalore,22:23,7h 14m,1 stop,No check-in baggage included,7355,05:37
Air India,2025-05-09,Hyderabad,Delhi,20:52,6h 47m,1 stop,No check-in baggage included,9685,03:39
Vistara,2025-08-03,Jaipur,Bangalore,16:43,2h 47m,1 stop,No Info,9122,19:30
GoAir,2025-05-28,Pune,Delhi,08:51,8h 19m,non-stop,In-flight meal not included,11924,17:10
Air India,2024-11-09,Hyderabad,Chennai,10:10,2h 28m,non-stop,No Info,9213,12:38
GoAir,2025-01-10,Bangalore,Pune,20:25,3h 8m,2 stops,No check-in baggage included,12895,23:33
Vistara,2025-05-31,Hyderabad,Pune,03:35,2h 47m,non-stop,No Info,2711,06:22
SpiceJet,2025-06-20,Chennai,Hyderabad,08:46,3h 50m,3 stops,No Info,11506,12:36
SpiceJet,2025-08-18,Bangalore,Chennai,21:45,7h 54m,1 stop,No Info,10513,05:39
AirAsia,2024-11-24,Jaipur,Delhi,17:23,8h 2m,2 stops,In-flight meal not included,9866,01:25
Alliance Air,2025-04-29,Bangalore,Kolkata,01:19,4h 46m,2 stops,No Info,7557,06:05
Vistara,2025-01-24,Bangalore,Mumbai,19:58,1h 26m,non-stop,No Info,7059,21:24
Air India,2025-05-07,Chennai,Bangalore,01:46,9h 46m,3 stops,No Info,13798,11:32
IndiGo,2024-10-22,Pune,Hyderabad,12:20,9h 50m,2 stops,In-flight meal not included,11762,22:10
IndiGo,2025-02-02,Jaipur,Chennai,12:22,9h 29m,2 stops,No check-in baggage included,13230,21:51
Air India,2024-11-25,Delhi,Chennai,14:17,3h 46m,non-stop,In-flight meal not included,7272,18:03
Air India,2024-09-14,Mumbai,Bangalore,11:19,1h 58m,3 stops,In-flight meal not included,13908,13:17
GoAir,2025-01-26,Chennai,Kolkata,06:31,2h 57m,1 stop,No check-in baggage included,11420,09:28
IndiGo,2024-12-16,Bangalore,Delhi,01:59,9h 49m,non-stop,No Info,7565,11:48
AirAsia,2025-03-26,Mumbai,Jaipur,04:57,6h 53m,1 stop,In-flight meal not included,6533,11:50
AirAsia,2025-01-10,Pune,Kolkata,13:32,3h 27m,2 stops,No Info,13760,16:59
IndiGo,2025-03-25,Kolkata,Jaipur,17:55,7h 48m,2 stops,No Info,5568,01:43
IndiGo,2025-05-10,Jaipur,Chennai,16:13,3h 52m,1 stop,In-flight meal not included,4237,20:05
IndiGo,2025-08-11,Bangalore,Chennai,09:03,5h 15m,2 stops,No Info,3041,14:18
AirAsia,2025-02-13,Delhi,Bangalore,12:56,9h 21m,3 stops,In-flight meal not included,12904,22:17
SpiceJet,2025-08-03,Mumbai,Jaipur,21:27,6h 9m,1 stop,In-flight meal not included,2689,03:36
Vistara,2025-04-09,Pune,Mumbai,00:40,2h 55m,1 stop,No check-in baggage included,4104,03:35
SpiceJet,2025-08-07,Chennai,Kolkata,14:13,6h 4m,3 stops,No Info,3311,20:17
SpiceJet,2025-01-18,Kolkata,Chennai,17:33,3h 23m,non-stop,No Info,2108,20:56
IndiGo,2025-01-26,Pune,Kolkata,09:36,1h 5m,3 stops,No Info,9744,10:41
Air India,2025-07-20,Jaipur,Delhi,12:21,2h 23m,3 stops,No check-in baggage included,10877,14:44
GoAir,2025-08-07,Mumbai,Jaipur,15:49,9h 10m,3 stops,No check-in baggage included,13020,00:59
IndiGo,2025-05-28,Kolkata,Jaipur,14:46,1h 21m,non-stop,No check-in baggage included,4362,16:07
Vistara,2025-01-12,Hyderabad,Mumbai,06:41,9h 4m,2 stops,No check-in baggage included,7639,15:45
SpiceJet,2024-11-18,Chennai,Hyderabad,13:34,5h 9m,1 stop,No Info,8419,18:43
IndiGo,2025-08-30,Kolkata,Hyderabad,07:47,4h 49m,3 stops,No Info,4402,12:36
AirAsia,2025-07-24,Mumbai,Delhi,06:51,6h 50m,1 stop,In-flight meal not included,2207,13:41
GoAir,2025-03-26,Jaipur,Mumbai,20:11,8h 33m,3 stops,No check-in baggage included,11728,04:44
Vistara,2025-02-14,Hyderabad,Kolkata,18:12,6h 53m,3 stops,No check-in baggage included,6955,01:05
AirAsia,2025-05-12,Chennai,Mumbai,15:24,6h 26m,2 stops,No check-in baggage included,8365,21:50
Alliance Air,2024-11-23,Jaipur,Kolkata,08:22,4h 36m,non-stop,In-flight meal not included,13569,12:58
Alliance Air,2025-06-22,Jaipur,Kolkata,04:26,8h 31m,non-stop,No check-in baggage included,2017,12:57
AirAsia,2025-04-19,Jaipur,Bangalore,17:42,8h 33m,1 stop,No Info,4886,02:15
Vistara,2025-05-16,Mumbai,Pune,17:49,4h 3m,non-stop,No check-in baggage included,4136,21:52
GoAir,2025-08-16,Chennai,Kolkata,12:18,7h 10m,1 stop,No check-in baggage included,5785,19:28
SpiceJet,2025-04-01,Mumbai,Kolkata,12:55,4h 24m,2 stops,In-flight meal not included,8054,17:19
Alliance Air,2025-03-27,Kolkata,Jaipur,17:54,4h 58m,1 stop,No check-in baggage included,5427,22:52
Alliance Air,2025-08-15,Chennai,Delhi,07:13,2h 22m,3 stops,No check-in baggage included,6214,09:35
SpiceJet,2024-11-16,Jaipur,Hyderabad,14:32,4h 57m,1 stop,In-flight meal not included,9037,19:29
Alliance Air,2024-11-24,Kolkata,Hyderabad,02:23,6h 55m,2 stops,In-flight meal not included,10431,09:18
IndiGo,2025-08-03,Kolkata,Pune,05:48,1h 2m,non-stop,No Info,10707,06:50
Air India,2024-10-28,Kolkata,Pune,05:20,1h 45m,non-stop,No check-in baggage included,8754,07:05
Alliance Air,2025-01-01,Jaipur,Delhi,07:25,5h 28m,3 stops,In-flight meal not included,2991,12:53
Air India,2024-12-16,Mumbai,Hyderabad,13:31,7h 43m,2 stops,In-flight meal not included,2592,21:14
IndiGo,2025-02-20,Bangalore,Mumbai,18:00,3h 14m,1 stop,In-flight meal not included,2525,21:14
Alliance Air,2024-09-26,Pune,Jaipur,14:27,8h 31m,2 stops,No Info,10925,22:58
AirAsia,2025-06-08,Bangalore,Jaipur,12:55,2h 1m,2 stops,No check-in baggage included,14290,14:56
Air India,2024-12-21,Hyderabad,Pune,08:48,2h 56m,non-stop,In-flight meal not included,11891,11:44
Air India,2024-10-24,Hyderabad,Delhi,20:27,9h 21m,3 stops,No check-in baggage included,6229,05:48
Air India,2025-02-13,Bangalore,Mumbai,00:48,8h 15m,non-stop,In-flight meal not included,14256,09:03
SpiceJet,2024-10-09,Kolkata,Pune,20:59,7h 4m,non-stop,In-flight meal not included,12443,04:03
AirAsia,2024-09-08,Kolkata,Bangalore,21:59,6h 10m,non-stop,No Info,11703,04:09
SpiceJet,2025-06-30,Delhi,Bangalore,01:23,5h 54m,1 stop,No check-in baggage included,3369,07:17
AirAsia,2025-03-23,Delhi,Bangalore,14:17,5h 52m,non-stop,In-flight meal not included,12990,20:09
GoAir,2025-01-11,Bangalore,Jaipur,17:21,4h 54m,3 stops,In-flight meal not included,9109,22:15
AirAsia,2025-08-16,Pune,Mumbai,18:27,5h 39m,3 stops,No Info,14656,00:06
AirAsia,2025-01-12,Hyderabad,Pune,15:28,5h 58m,3 stops,No check-in baggage included,14085,21:26
Alliance Air,2024-12-11,Bangalore,Mumbai,10:57,6h 51m,non-stop,No Info,12579,17:48
Air India,2024-12-09,Pune,Kolkata,13:44,3h 22m,3 stops,In-flight meal not included,2739,17:06
Vistara,2025-01-26,Chennai,Bangalore,08:22,5h 24m,2 stops,No Info,5305,13:46
Air India,2025-04-17,Bangalore,Mumbai,17:13,8h 8m,non-stop,No check-in baggage included,7159,01:21
Alliance Air,2024-10-11,Mumbai,Bangalore,08:45,3h 9m,2 stops,No Info,8408,11:54
Air India,2024-12-24,Hyderabad,Kolkata,09:51,3h 52m,2 stops,In-flight meal not included,11951,13:43
Alliance Air,2025-01-06,Kolkata,Hyderabad,15:50,2h 12m,non-stop,No Info,14134,18:02
AirAsia,2025-04-20,Hyderabad,Pune,16:51,3h 7m,3 stops,In-flight meal not included,6672,19:58
IndiGo,2024-12-01,Delhi,Hyderabad,22:27,5h 55m,3 stops,No check-in baggage included,2789,04:22
AirAsia,2024-10-01,Bangalore,Jaipur,08:06,8h 12m,3 stops,No Info,13632,16:18
SpiceJet,2025-05-16,Chennai,Delhi,19:28,1h 36m,3 stops,No Info,13701,21:04
Alliance Air,2025-05-24,Pune,Delhi,04:52,2h 8m,non-stop,No check-in baggage included,6659,07:00
IndiGo,2025-05-24,Pune,Jaipur,15:30,7h 49m,non-stop,No check-in baggage included,3906,23:19
Alliance Air,2025-03-07,Pune,Delhi,17:21,1h 10m,1 stop,In-flight meal not included,12216,18:31
SpiceJet,2025-08-06,Pune,Jaipur,21:27,1h 18m,1 stop,No check-in baggage included,7741,22:45
Vistara,2025-06-07,Hyderabad,Pune,23:12,5h 12m,1 stop,No check-in baggage included,7119,04:24
Vistara,2025-05-03,Mumbai,Bangalore,18:29,1h 48m,1 stop,No Info,2833,20:17
IndiGo,2025-06-30,Kolkata,Chennai,10:09,9h 45m,non-stop,No check-in baggage included,6999,19:54
AirAsia,2025-05-02,Mumbai,Pune,17:03,2h 40m,2 stops,In-flight meal not included,2126,19:43
Vistara,2025-05-05,Bangalore,Chennai,09:06,3h 25m,non-stop,No Info,13255,12:31
Vistara,2025-08-26,Jaipur,Pune,10:49,2h 45m,1 stop,No check-in baggage included,5065,13:34
Air India,2025-07-13,Mumbai,Jaipur,22:57,7h 3m,3 stops,In-flight meal not included,5937,06:00
Alliance Air,2025-07-02,Mumbai,Pune,08:48,5h 11m,3 stops,In-flight meal not included,10084,13:59
IndiGo,2024-11-21,Chennai,Kolkata,17:25,5h 19m,1 stop,No Info,5652,22:44
Air India,2025-08-08,Chennai,Pune,14:35,4h 24m,2 stops,No check-in baggage included,4877,18:59
Vistara,2025-03-25,Jaipur,Mumbai,16:41,4h 9m,non-stop,In-flight meal not included,11602,20:50
IndiGo,2025-06-19,Mumbai,Pune,16:31,5h 43m,non-stop,No Info,14064,22:14
Vistara,2024-09-20,Chennai,Bangalore,15:15,1h 14m,2 stops,In-flight meal not included,11240,16:29
Vistara,2024-09-19,Pune,Chennai,21:28,5h 44m,1 stop,No Info,7919,03:12
AirAsia,2024-10-07,Jaipur,Delhi,10:27,6h 11m,2 stops,In-flight meal not included,13214,16:38
Vistara,2025-05-12,Chennai,Pune,06:17,5h 52m,1 stop,No Info,11951,12:09
Vistara,2024-09-10,Kolkata,Hyderabad,01:26,8h 43m,2 stops,No check-in baggage included,5940,10:09
GoAir,2024-12-25,Bangalore,Mumbai,17:40,6h 1m,non-stop,In-flight meal not included,4108,23:41
IndiGo,2025-05-04,Mumbai,Jaipur,02:41,2h 33m,1 stop,In-flight meal not included,13544,05:14
GoAir,2025-08-01,Chennai,Hyderabad,06:57,8h 3m,non-stop,In-flight meal not included,14288,15:00
SpiceJet,2025-02-01,Chennai,Pune,21:02,3h 40m,3 stops,In-flight meal not included,2744,00:42
Vistara,2024-10-31,Hyderabad,Chennai,08:08,2h 54m,1 stop,No check-in baggage included,5446,11:02
AirAsia,2024-09-11,Pune,Bangalore,21:02,4h 4m,3 stops,No check-in baggage included,5293,01:06
Vistara,2025-06-01,Hyderabad,Bangalore,15:14,5h 49m,non-stop,In-flight meal not included,2224,21:03
AirAsia,2024-11-12,Mumbai,Chennai,04:27,4h 19m,1 stop,No check-in baggage included,2460,08:46
Vistara,2024-10-04,Kolkata,Pune,15:08,2h 11m,3 stops,No check-in baggage included,5724,17:19
GoAir,2025-07-02,Chennai,Mumbai,10:31,2h 59m,1 stop,In-flight meal not included,4670,13:30
SpiceJet,2024-10-20,Bangalore,Hyderabad,12:14,4h 30m,2 stops,No Info,12540,16:44
Alliance Air,2025-08-26,Pune,Delhi,04:47,1h 32m,1 stop,No check-in baggage included,6378,06:19
Air India,2024-10-31,Bangalore,Mumbai,15:17,9h 24m,2 stops,In-flight meal not included,3996,00:41
SpiceJet,2025-04-26,Jaipur,Chennai,06:24,3h 51m,2 stops,No check-in baggage included,2027,10:15
IndiGo,2025-05-31,Kolkata,Pune,15:21,9h 10m,3 stops,No Info,3438,00:31
IndiGo,2025-05-08,Hyderabad,Kolkata,22:14,6h 40m,3 stops,No check-in baggage included,14970,04:54
Alliance Air,2025-02-17,Kolkata,Delhi,04:22,1h 41m,1 stop,No check-in baggage included,11330,06:03
AirAsia,2024-11-25,Jaipur,Hyderabad,06:02,1h 16m,3 stops,In-flight meal not included,14333,07:18
Vistara,2025-06-14,Bangalore,Delhi,23:00,4h 18m,2 stops,No check-in baggage included,2842,03:18
Alliance Air,2024-11-18,Mumbai,Chennai,16:06,7h 11m,2 stops,No check-in baggage included,14543,23:17
SpiceJet,2025-01-19,Jaipur,Pune,00:26,9h 5m,non-stop,In-flight meal not included,5005,09:31
GoAir,2025-01-19,Delhi,Kolkata,09:40,6h 4m,3 stops,No Info,10130,15:44
Alliance Air,2025-04-12,Mumbai,Delhi,21:35,5h 26m,1 stop,In-flight meal not included,4902,03:01
Air India,2024-12-27,Chennai,Jaipur,13:42,9h 52m,3 stops,In-flight meal not included,6075,23:34
SpiceJet,2025-08-01,Chennai,Hyderabad,07:59,2h 22m,2 stops,In-flight meal not included,5399,10:21
IndiGo,2024-11-21,Mumbai,Kolkata,04:31,2h 24m,1 stop,No check-in baggage included,3328,06:55
GoAir,2025-05-07,Kolkata,Pune,12:50,5h 28m,1 stop,No Info,4337,18:18
SpiceJet,2025-05-22,Bangalore,Hyderabad,23:16,1h 39m,non-stop,No Info,13691,00:55
Alliance Air,2025-08-07,Kolkata,Jaipur,12:33,9h 13m,1 stop,No Info,4077,21:46
AirAsia,2025-07-21,Chennai,Jaipur,00:39,6h 0m,2 stops,No Info,5057,06:39
SpiceJet,2025-01-06,Chennai,Hyderabad,12:02,6h 2m,non-stop,In-flight meal not included,9989,18:04
IndiGo,2025-08-08,Hyderabad,Jaipur,22:47,4h 57m,non-stop,No check-in baggage included,12723,03:44
IndiGo,2025-04-11,Kolkata,Chennai,23:00,9h 29m,3 stops,No Info,14102,08:29
AirAsia,2024-12-04,Chennai,Pune,12:14,6h 23m,2 stops,No Info,4012,18:37
AirAsia,2024-10-20,Jaipur,Kolkata,12:27,2h 23m,3 stops,No check-in baggage included,10797,14:50
Air India,2025-04-19,Mumbai,Delhi,12:17,5h 2m,3 stops,No Info,8765,17:19
SpiceJet,2025-07-22,Mumbai,Chennai,12:57,8h 1m,3 stops,No check-in baggage included,14905,20:58
IndiGo,2025-05-03,Mumbai,Bangalore,12:21,4h 29m,1 stop,No Info,5106,16:50
Vistara,2025-01-16,Chennai,Bangalore,05:04,2h 19m,3 stops,No check-in baggage included,11414,07:23
Air India,2025-06-12,Chennai,Jaipur,23:29,6h 14m,non-stop,In-flight meal not included,2367,05:43
Alliance Air,2025-01-01,Delhi,Jaipur,10:47,9h 11m,non-stop,No Info,13363,19:58
Air India,2024-10-08,Bangalore,Hyderabad,18:47,3h 32m,non-stop,No Info,3308,22:19
SpiceJet,2025-07-28,Delhi,Pune,18:44,1h 12m,3 stops,No check-in baggage included,5864,19:56
Vistara,2024-10-21,Jaipur,Hyderabad,03:42,9h 59m,non-stop,No Info,11352,13:41
SpiceJet,2024-09-21,Pune,Jaipur,17:15,6h 31m,1 stop,In-flight meal not included,5646,23:46
Alliance Air,2024-10-13,Bangalore,Jaipur,07:22,1h 6m,3 stops,No Info,7106,08:28
IndiGo,2024-11-15,Hyderabad,Mumbai,23:24,3h 7m,2 stops,In-flight meal not included,4863,02:31
Air India,2025-02-05,Kolkata,Bangalore,01:03,5h 39m,1 stop,In-flight meal not included,11751,06:42
SpiceJet,2025-04-16,Kolkata,Pune,22:56,2h 48m,1 stop,No Info,6941,01:44
AirAsia,2024-10-29,Pune,Chennai,07:26,3h 32m,1 stop,In-flight meal not included,4086,10:58
Air India,2025-07-02,Pune,Jaipur,06:08,1h 34m,non-stop,In-flight meal not included,13499,07:42
