City,Advisory_Date,Advisory_Level,Reason,Affected_Routes,Additional_Info,Validity
Pune,2025-08-11,Low,Security concerns,Delhi to Mumbai,Check with airlines,3 days
Chennai,2025-01-06,High,Security concerns,Delhi to Mumbai,No Info,1 day
Bangalore,2024-10-19,Moderate,Infrastructure issues,Chennai to Hyderabad,Check with airlines,3 days
Bangalore,2024-09-09,Low,Infrastructure issues,Chennai to Delhi,Check with airlines,1 day
Kolkata,2025-03-07,Moderate,Health advisory,Delhi to Pune,Monitor local news,1 week
Bangalore,2024-10-04,Moderate,Health advisory,Delhi to Bangalore,Avoid non-essential travel,3 days
Delhi,2024-09-12,Low,Weather,Delhi to Pune,Monitor local news,1 week
Kolkata,2024-12-25,Severe,Security concerns,Chennai to Kolkata,Avoid non-essential travel,1 day
Jaipur,2025-08-11,Severe,Health advisory,Kolkata to Mumbai,Avoid non-essential travel,Indefinite
Kolkata,2025-03-17,High,Security concerns,Chennai to Pune,Check with airlines,3 days
Kolkata,2025-02-05,Moderate,Political unrest,Delhi to Kolkata,Monitor local news,3 days
Chennai,2024-11-28,Moderate,Political unrest,Hyderabad to Chennai,Follow local guidelines,3 days
Kolkata,2025-01-29,Moderate,Security concerns,Bangalore to Delhi,No Info,1 week
Jaipur,2024-12-15,High,Weather,Bangalore to Chennai,No Info,1 day
Kolkata,2025-04-11,Severe,Security concerns,Kolkata to Pune,Check with airlines,Indefinite
Kolkata,2025-08-15,Low,Infrastructure issues,Kolkata to Pune,Check with airlines,1 week
Kolkata,2024-09-30,Low,Political unrest,Bangalore to Mumbai,Monitor local news,1 week
Bangalore,2025-07-10,Severe,Health advisory,Kolkata to Chennai,Check with airlines,3 days
Chennai,2024-11-10,Low,Political unrest,Hyderabad to Jaipur,Follow local guidelines,Indefinite
Kolkata,2025-06-13,Low,Infrastructure issues,Mumbai to Jaipur,Check with airlines,Indefinite
Mumbai,2025-01-21,Severe,Infrastructure issues,Hyderabad to Mumbai,Follow local guidelines,1 week
Delhi,2025-07-22,Moderate,Infrastructure issues,Bangalore to Kolkata,Check with airlines,1 week
Hyderabad,2024-09-16,High,Health advisory,Jaipur to Kolkata,Monitor local news,3 days
Hyderabad,2024-10-03,Moderate,Political unrest,Chennai to Mumbai,Check with airlines,1 week
Kolkata,2024-11-24,Moderate,Security concerns,Mumbai to Pune,Avoid non-essential travel,1 week
Bangalore,2025-01-24,Moderate,Infrastructure issues,Hyderabad to Pune,Monitor local news,1 week
Mumbai,2025-05-20,Severe,Infrastructure issues,Jaipur to Mumbai,No Info,1 week
Chennai,2025-07-27,Severe,Weather,Kolkata to Hyderabad,Follow local guidelines,3 days
Bangalore,2025-08-21,Moderate,Weather,Mumbai to Chennai,Check with airlines,1 day
Chennai,2025-08-04,Severe,Health advisory,Kolkata to Hyderabad,Follow local guidelines,1 week
Bangalore,2024-12-27,Low,Political unrest,Pune to Hyderabad,Follow local guidelines,1 week
Kolkata,2024-12-28,Moderate,Political unrest,Bangalore to Kolkata,Monitor local news,1 day
Mumbai,2025-03-20,Low,Political unrest,Jaipur to Pune,Monitor local news,Indefinite
Pune,2025-02-01,High,Health advisory,Mumbai to Chennai,Follow local guidelines,1 week
Jaipur,2025-03-26,Moderate,Security concerns,Bangalore to Jaipur,Follow local guidelines,1 day
Jaipur,2025-01-23,High,Security concerns,Bangalore to Jaipur,No Info,1 week
Hyderabad,2025-05-18,Severe,Infrastructure issues,Jaipur to Bangalore,Check with airlines,1 day
Pune,2025-07-08,Low,Security concerns,Jaipur to Mumbai,Check with airlines,1 day
Pune,2024-10-03,Moderate,Weather,Pune to Delhi,No Info,Indefinite
Chennai,2024-12-11,Moderate,Health advisory,Pune to Bangalore,No Info,Indefinite
Delhi,2025-08-31,Moderate,Health advisory,Kolkata to Mumbai,Follow local guidelines,Indefinite
Kolkata,2025-04-07,Moderate,Security concerns,Hyderabad to Kolkata,Check with airlines,Indefinite
Hyderabad,2025-02-22,Low,Political unrest,Jaipur to Pune,Monitor local news,3 days
Bangalore,2025-04-04,Severe,Security concerns,Kolkata to Bangalore,Monitor local news,1 day
Kolkata,2025-04-07,Low,Security concerns,Pune to Kolkata,No Info,Indefinite
Bangalore,2025-08-04,Low,Political unrest,Chennai to Kolkata,Monitor local news,1 week
Delhi,2025-06-06,Severe,Infrastructure issues,Kolkata to Delhi,Check with airlines,Indefinite
Chennai,2025-07-04,High,Health advisory,Hyderabad to Mumbai,No Info,Indefinite
Bangalore,2025-06-29,Moderate,Security concerns,Chennai to Kolkata,Check with airlines,Indefinite
Hyderabad,2025-04-15,Low,Security concerns,Mumbai to Bangalore,Avoid non-essential travel,3 days
Bangalore,2025-02-25,Moderate,Health advisory,Chennai to Pune,Check with airlines,3 days
Mumbai,2025-06-28,Low,Health advisory,Kolkata to Jaipur,Check with airlines,1 day
Bangalore,2024-09-03,High,Weather,Hyderabad to Chennai,No Info,Indefinite
Jaipur,2024-10-20,High,Weather,Delhi to Hyderabad,Follow local guidelines,Indefinite
Kolkata,2025-02-17,Moderate,Health advisory,Jaipur to Bangalore,No Info,1 day
Hyderabad,2024-11-06,Severe,Infrastructure issues,Hyderabad to Chennai,Avoid non-essential travel,1 week
Kolkata,2025-07-17,Moderate,Infrastructure issues,Hyderabad to Mumbai,Monitor local news,1 day
Jaipur,2024-11-04,Severe,Weather,Hyderabad to Pune,Check with airlines,1 week
Bangalore,2024-12-31,Moderate,Political unrest,Kolkata to Pune,Monitor local news,3 days
Delhi,2024-10-31,High,Security concerns,Hyderabad to Delhi,Monitor local news,3 days
Bangalore,2025-05-03,Moderate,Infrastructure issues,Delhi to Kolkata,Monitor local news,1 day
Kolkata,2025-06-17,Severe,Infrastructure issues,Jaipur to Bangalore,Check with airlines,1 day
Chennai,2025-06-30,Moderate,Security concerns,Delhi to Mumbai,No Info,1 week
Bangalore,2025-06-13,High,Weather,Delhi to Kolkata,Check with airlines,1 day
Delhi,2025-05-17,Severe,Political unrest,Hyderabad to Kolkata,Avoid non-essential travel,1 week
Bangalore,2024-11-12,Moderate,Weather,Chennai to Pune,Check with airlines,1 week
Chennai,2025-07-21,High,Infrastructure issues,Delhi to Chennai,Monitor local news,1 day
Bangalore,2025-06-28,Severe,Infrastructure issues,Delhi to Bangalore,No Info,Indefinite
Pune,2025-01-16,Severe,Weather,Pune to Mumbai,Check with airlines,1 week
Bangalore,2024-10-21,Low,Infrastructure issues,Bangalore to Pune,Avoid non-essential travel,1 day
Delhi,2024-11-29,High,Health advisory,Pune to Chennai,Follow local guidelines,3 days
Delhi,2024-09-07,Low,Weather,Delhi to Bangalore,Check with airlines,Indefinite
Delhi,2024-12-04,Low,Political unrest,Mumbai to Kolkata,Follow local guidelines,Indefinite
Kolkata,2024-10-01,Severe,Security concerns,Delhi to Kolkata,No Info,1 day
Mumbai,2025-01-13,High,Security concerns,Pune to Mumbai,Avoid non-essential travel,1 week
Pune,2025-02-15,High,Political unrest,Bangalore to Chennai,Monitor local news,1 week
Hyderabad,2024-12-29,Low,Health advisory,Pune to Jaipur,Check with airlines,1 week
Jaipur,2025-07-21,High,Health advisory,Jaipur to Hyderabad,Avoid non-essential travel,1 week
Pune,2025-06-01,Moderate,Health advisory,Chennai to Bangalore,No Info,Indefinite
Mumbai,2025-04-10,Severe,Weather,Bangalore to Kolkata,No Info,3 days
Delhi,2025-04-27,High,Security concerns,Bangalore to Pune,No Info,3 days
Mumbai,2025-06-26,Moderate,Weather,Hyderabad to Jaipur,Avoid non-essential travel,1 day
Hyderabad,2025-05-03,High,Security concerns,Chennai to Delhi,Monitor local news,1 week
Jaipur,2024-11-01,Moderate,Infrastructure issues,Delhi to Pune,Check with airlines,1 week
Kolkata,2024-09-22,Severe,Security concerns,Kolkata to Chennai,Monitor local news,3 days
Kolkata,2024-11-21,High,Health advisory,Hyderabad to Kolkata,Follow local guidelines,Indefinite
Bangalore,2024-09-23,Severe,Health advisory,Delhi to Pune,Follow local guidelines,Indefinite
Jaipur,2025-03-17,Severe,Infrastructure issues,Kolkata to Delhi,No Info,1 week
Mumbai,2025-03-13,Moderate,Weather,Chennai to Jaipur,No Info,1 week
Delhi,2024-11-15,Severe,Health advisory,Bangalore to Hyderabad,Check with airlines,Indefinite
Mumbai,2025-05-10,High,Political unrest,Bangalore to Mumbai,Follow local guidelines,3 days
Jaipur,2024-10-12,Moderate,Weather,Jaipur to Delhi,Monitor local news,1 week
Jaipur,2025-03-14,Low,Political unrest,Bangalore to Hyderabad,Monitor local news,Indefinite
Mumbai,2024-10-11,Severe,Health advisory,Chennai to Kolkata,Avoid non-essential travel,3 days
Delhi,2025-04-04,Low,Security concerns,Mumbai to Jaipur,Monitor local news,1 day
Delhi,2025-03-23,High,Health advisory,Kolkata to Mumbai,Follow local guidelines,1 day
Bangalore,2025-06-01,High,Health advisory,Kolkata to Jaipur,Follow local guidelines,1 week
Pune,2025-02-08,High,Weather,Mumbai to Hyderabad,Monitor local news,1 week
Delhi,2025-07-27,High,Infrastructure issues,Kolkata to Mumbai,No Info,1 week
Pune,2024-12-19,High,Weather,Chennai to Hyderabad,No Info,1 day
Delhi,2025-06-14,Low,Weather,Bangalore to Delhi,Follow local guidelines,3 days
Pune,2024-11-08,Low,Security concerns,Bangalore to Hyderabad,No Info,3 days
Jaipur,2025-04-21,Low,Security concerns,Jaipur to Bangalore,Monitor local news,3 days
Chennai,2025-01-29,High,Health advisory,Hyderabad to Chennai,Follow local guidelines,3 days
Mumbai,2025-08-28,High,Infrastructure issues,Mumbai to Hyderabad,Follow local guidelines,1 day
Jaipur,2025-05-27,Severe,Health advisory,Mumbai to Bangalore,Follow local guidelines,Indefinite
Mumbai,2025-01-24,Low,Security concerns,Bangalore to Kolkata,Check with airlines,1 week
Mumbai,2025-07-15,Low,Weather,Jaipur to Hyderabad,Check with airlines,1 week
Jaipur,2024-12-20,Severe,Political unrest,Chennai to Jaipur,Check with airlines,3 days
Pune,2024-10-29,High,Health advisory,Hyderabad to Pune,Check with airlines,1 day
Pune,2025-04-03,High,Political unrest,Delhi to Kolkata,No Info,3 days
Mumbai,2024-11-26,Moderate,Political unrest,Hyderabad to Chennai,Follow local guidelines,1 week
Kolkata,2024-09-19,Moderate,Security concerns,Kolkata to Bangalore,Follow local guidelines,1 week
Hyderabad,2024-12-29,High,Weather,Hyderabad to Delhi,Avoid non-essential travel,1 week
Mumbai,2024-12-20,Severe,Political unrest,Pune to Kolkata,No Info,1 day
Delhi,2025-02-09,Severe,Weather,Bangalore to Mumbai,Check with airlines,1 day
Delhi,2024-10-14,High,Security concerns,Jaipur to Bangalore,No Info,Indefinite
Jaipur,2025-07-12,Moderate,Health advisory,Kolkata to Pune,Follow local guidelines,Indefinite
Pune,2024-12-17,Low,Infrastructure issues,Jaipur to Mumbai,No Info,Indefinite
Pune,2025-01-19,Severe,Health advisory,Jaipur to Kolkata,Avoid non-essential travel,Indefinite
Kolkata,2024-11-20,Low,Health advisory,Mumbai to Delhi,Follow local guidelines,3 days
Chennai,2025-01-17,Moderate,Security concerns,Bangalore to Pune,Avoid non-essential travel,Indefinite
Bangalore,2024-11-16,Moderate,Infrastructure issues,Mumbai to Bangalore,No Info,1 day
Mumbai,2024-09-16,Moderate,Health advisory,Bangalore to Mumbai,Avoid non-essential travel,1 day
Mumbai,2025-02-05,High,Health advisory,Chennai to Jaipur,Follow local guidelines,1 week
Chennai,2025-04-05,Moderate,Weather,Kolkata to Delhi,Check with airlines,Indefinite
Bangalore,2024-12-09,Low,Health advisory,Kolkata to Jaipur,Avoid non-essential travel,Indefinite
Pune,2024-10-02,Moderate,Weather,Delhi to Pune,Avoid non-essential travel,3 days
Mumbai,2025-03-23,High,Security concerns,Hyderabad to Jaipur,Avoid non-essential travel,3 days
Jaipur,2025-06-04,Low,Security concerns,Delhi to Chennai,Follow local guidelines,1 week
Chennai,2025-05-01,Moderate,Weather,Jaipur to Mumbai,Avoid non-essential travel,Indefinite
Kolkata,2025-02-07,Moderate,Political unrest,Delhi to Bangalore,Monitor local news,1 day
Chennai,2025-01-15,Severe,Security concerns,Bangalore to Chennai,Follow local guidelines,3 days
Kolkata,2025-01-11,Severe,Weather,Hyderabad to Jaipur,Follow local guidelines,1 week
Bangalore,2025-05-28,Low,Infrastructure issues,Pune to Delhi,Follow local guidelines,1 day
Kolkata,2024-10-01,High,Health advisory,Pune to Kolkata,Avoid non-essential travel,Indefinite
Chennai,2024-10-23,Low,Infrastructure issues,Jaipur to Chennai,No Info,1 day
Jaipur,2024-10-03,Low,Security concerns,Pune to Chennai,Check with airlines,1 week
Pune,2025-05-18,High,Infrastructure issues,Kolkata to Bangalore,Check with airlines,1 week
Chennai,2024-11-03,Low,Security concerns,Chennai to Pune,Follow local guidelines,1 day
Mumbai,2024-11-17,Moderate,Weather,Bangalore to Pune,Avoid non-essential travel,1 week
Jaipur,2025-07-09,High,Health advisory,Delhi to Hyderabad,Monitor local news,3 days
Mumbai,2024-09-24,Moderate,Infrastructure issues,Chennai to Kolkata,Monitor local news,1 day
Kolkata,2025-08-15,Low,Infrastructure issues,Mumbai to Hyderabad,Follow local guidelines,1 day
Kolkata,2024-12-23,Low,Weather,Pune to Kolkata,Follow local guidelines,3 days
Chennai,2025-05-30,High,Weather,Chennai to Jaipur,No Info,3 days
Mumbai,2025-01-28,High,Weather,Kolkata to Chennai,Follow local guidelines,3 days
Hyderabad,2025-08-23,Moderate,Political unrest,Bangalore to Hyderabad,Avoid non-essential travel,1 week
Delhi,2025-07-28,Low,Weather,Hyderabad to Pune,Follow local guidelines,Indefinite
Jaipur,2025-05-08,Moderate,Security concerns,Delhi to Pune,Monitor local news,3 days
Kolkata,2024-11-29,Severe,Political unrest,Chennai to Pune,Check with airlines,Indefinite
Kolkata,2025-05-13,High,Health advisory,Bangalore to Mumbai,Avoid non-essential travel,1 day
Pune,2025-03-25,High,Infrastructure issues,Hyderabad to Delhi,No Info,1 week
Mumbai,2024-10-21,Severe,Political unrest,Chennai to Hyderabad,Follow local guidelines,1 week
Kolkata,2025-06-22,Moderate,Health advisory,Jaipur to Kolkata,Avoid non-essential travel,1 day
Bangalore,2024-10-23,Low,Infrastructure issues,Chennai to Mumbai,Check with airlines,1 day
Jaipur,2024-09-19,Moderate,Weather,Mumbai to Chennai,Follow local guidelines,1 day
Bangalore,2024-11-13,Low,Political unrest,Delhi to Chennai,Avoid non-essential travel,3 days
Mumbai,2025-01-29,High,Political unrest,Chennai to Kolkata,Avoid non-essential travel,3 days
Jaipur,2025-02-18,High,Political unrest,Chennai to Bangalore,Monitor local news,1 week
Bangalore,2024-09-14,Moderate,Security concerns,Jaipur to Chennai,Avoid non-essential travel,1 day
Mumbai,2025-03-04,Severe,Political unrest,Chennai to Kolkata,Check with airlines,Indefinite
Kolkata,2025-02-10,Severe,Political unrest,Chennai to Kolkata,Follow local guidelines,3 days
Chennai,2025-04-02,High,Weather,Jaipur to Pune,Follow local guidelines,1 week
Jaipur,2024-12-28,Severe,Security concerns,Mumbai to Bangalore,No Info,1 week
Kolkata,2024-10-26,Severe,Weather,Jaipur to Delhi,Follow local guidelines,1 day
Delhi,2025-02-11,Moderate,Security concerns,Mumbai to Pune,No Info,1 week
Mumbai,2025-08-10,Moderate,Weather,Chennai to Delhi,Monitor local news,1 week
Bangalore,2025-06-16,Moderate,Weather,Bangalore to Kolkata,Follow local guidelines,Indefinite
Jaipur,2025-05-30,Low,Political unrest,Delhi to Bangalore,No Info,Indefinite
Chennai,2024-11-28,Low,Weather,Bangalore to Kolkata,No Info,Indefinite
Chennai,2025-05-27,Severe,Political unrest,Pune to Jaipur,Follow local guidelines,1 week
Hyderabad,2025-04-06,Severe,Security concerns,Pune to Jaipur,Monitor local news,1 day
Hyderabad,2025-06-08,Severe,Health advisory,Chennai to Jaipur,No Info,Indefinite
Delhi,2025-05-29,High,Security concerns,Pune to Jaipur,No Info,3 days
Kolkata,2024-10-13,Moderate,Political unrest,Pune to Kolkata,No Info,Indefinite
Jaipur,2025-04-02,Moderate,Weather,Pune to Mumbai,Follow local guidelines,1 day
Kolkata,2025-01-22,High,Infrastructure issues,Hyderabad to Pune,Monitor local news,1 day
Chennai,2025-03-31,High,Security concerns,Kolkata to Jaipur,Avoid non-essential travel,Indefinite
Hyderabad,2024-09-03,Moderate,Health advisory,Kolkata to Pune,Avoid non-essential travel,3 days
Delhi,2025-04-24,Severe,Weather,Delhi to Pune,Check with airlines,1 week
Pune,2025-08-15,Moderate,Political unrest,Jaipur to Mumbai,No Info,3 days
Jaipur,2024-10-09,Severe,Political unrest,Kolkata to Pune,Avoid non-essential travel,1 week
Jaipur,2024-12-17,Severe,Security concerns,Jaipur to Pune,Check with airlines,Indefinite
Hyderabad,2024-10-29,Moderate,Health advisory,Bangalore to Chennai,Avoid non-essential travel,1 day
Chennai,2025-06-18,High,Weather,Delhi to Jaipur,Check with airlines,Indefinite
Chennai,2024-11-25,Severe,Security concerns,Jaipur to Delhi,Follow local guidelines,1 week
Jaipur,2024-09-20,Moderate,Weather,Pune to Bangalore,No Info,Indefinite
Delhi,2025-08-18,High,Weather,Hyderabad to Jaipur,No Info,Indefinite
Pune,2024-11-19,Severe,Security concerns,Chennai to Hyderabad,Monitor local news,Indefinite
Chennai,2024-12-18,Severe,Security concerns,Hyderabad to Jaipur,No Info,1 day
Jaipur,2025-01-25,High,Infrastructure issues,Bangalore to Delhi,Avoid non-essential travel,Indefinite
Kolkata,2024-12-23,Severe,Security concerns,Chennai to Mumbai,Follow local guidelines,1 day
Delhi,2025-06-16,High,Health advisory,Chennai to Bangalore,Avoid non-essential travel,Indefinite
Jaipur,2025-06-29,Low,Health advisory,Kolkata to Mumbai,Check with airlines,3 days
Delhi,2025-03-12,Moderate,Security concerns,Jaipur to Hyderabad,Follow local guidelines,Indefinite
Pune,2025-02-14,Moderate,Weather,Pune to Delhi,Check with airlines,1 week
Kolkata,2024-12-21,Severe,Security concerns,Kolkata to Pune,Check with airlines,1 week
Mumbai,2025-02-19,High,Weather,Hyderabad to Bangalore,Check with airlines,Indefinite
Mumbai,2025-03-14,High,Security concerns,Chennai to Bangalore,Avoid non-essential travel,Indefinite
Pune,2025-08-31,High,Security concerns,Bangalore to Chennai,No Info,Indefinite
Hyderabad,2024-10-17,High,Health advisory,Delhi to Pune,Check with airlines,1 week
Jaipur,2025-04-04,Moderate,Political unrest,Chennai to Bangalore,No Info,Indefinite
Bangalore,2025-06-25,Moderate,Health advisory,Pune to Hyderabad,Avoid non-essential travel,Indefinite
Chennai,2025-04-18,Moderate,Health advisory,Chennai to Mumbai,Follow local guidelines,1 week
Delhi,2025-01-16,Low,Security concerns,Mumbai to Jaipur,Monitor local news,3 days
Pune,2025-03-06,Low,Security concerns,Bangalore to Delhi,Monitor local news,Indefinite
Bangalore,2025-03-08,Moderate,Infrastructure issues,Bangalore to Kolkata,Avoid non-essential travel,1 day
Hyderabad,2025-01-01,High,Security concerns,Mumbai to Jaipur,Follow local guidelines,Indefinite
Hyderabad,2024-09-25,Severe,Weather,Kolkata to Bangalore,Follow local guidelines,Indefinite
Kolkata,2025-02-13,Severe,Weather,Chennai to Mumbai,No Info,1 week
Pune,2025-02-23,High,Health advisory,Chennai to Pune,Avoid non-essential travel,1 day
Chennai,2024-10-30,Severe,Infrastructure issues,Delhi to Mumbai,Follow local guidelines,3 days
Hyderabad,2025-06-05,Low,Weather,Jaipur to Pune,Follow local guidelines,1 week
Mumbai,2025-02-02,High,Weather,Pune to Delhi,Check with airlines,1 day
Pune,2025-03-30,High,Weather,Bangalore to Hyderabad,Monitor local news,Indefinite
Delhi,2024-12-17,Moderate,Infrastructure issues,Jaipur to Bangalore,No Info,Indefinite
Bangalore,2024-11-29,Low,Health advisory,Bangalore to Jaipur,Monitor local news,3 days
Kolkata,2025-02-06,Low,Political unrest,Kolkata to Bangalore,Follow local guidelines,1 day
Bangalore,2025-06-02,Severe,Infrastructure issues,Delhi to Mumbai,No Info,1 week
Mumbai,2024-11-27,Severe,Security concerns,Pune to Hyderabad,Avoid non-essential travel,1 day
Bangalore,2025-02-16,Moderate,Weather,Kolkata to Chennai,Monitor local news,Indefinite
Mumbai,2025-08-17,High,Security concerns,Bangalore to Jaipur,Monitor local news,1 week
Chennai,2025-06-24,High,Weather,Delhi to Chennai,Avoid non-essential travel,1 week
Delhi,2024-12-22,Moderate,Security concerns,Hyderabad to Kolkata,Monitor local news,3 days
Pune,2025-02-07,Severe,Infrastructure issues,Kolkata to Jaipur,No Info,1 week
Hyderabad,2025-04-27,Severe,Weather,Chennai to Jaipur,No Info,Indefinite
Mumbai,2025-01-27,Severe,Infrastructure issues,Hyderabad to Kolkata,No Info,1 day
Hyderabad,2024-10-23,Low,Weather,Hyderabad to Jaipur,Monitor local news,1 week
Mumbai,2024-12-07,Low,Infrastructure issues,Bangalore to Pune,Check with airlines,3 days
Pune,2024-09-11,High,Security concerns,Jaipur to Mumbai,Avoid non-essential travel,Indefinite
Chennai,2025-07-04,Moderate,Health advisory,Mumbai to Chennai,Avoid non-essential travel,1 week
Hyderabad,2024-11-08,Low,Weather,Pune to Delhi,No Info,1 week
Kolkata,2025-07-30,Moderate,Health advisory,Bangalore to Mumbai,Avoid non-essential travel,3 days
Pune,2024-10-10,Moderate,Infrastructure issues,Kolkata to Pune,No Info,Indefinite
Jaipur,2025-03-22,Moderate,Political unrest,Chennai to Mumbai,Avoid non-essential travel,1 day
Jaipur,2025-05-04,Low,Weather,Bangalore to Chennai,Follow local guidelines,1 week
Mumbai,2025-01-08,Severe,Weather,Bangalore to Jaipur,No Info,3 days
Kolkata,2025-08-01,Severe,Infrastructure issues,Hyderabad to Pune,Follow local guidelines,Indefinite
Pune,2025-01-22,Moderate,Political unrest,Chennai to Kolkata,Follow local guidelines,3 days
Bangalore,2024-10-02,Moderate,Security concerns,Chennai to Pune,Follow local guidelines,3 days
Jaipur,2025-07-27,Low,Infrastructure issues,Bangalore to Hyderabad,Avoid non-essential travel,3 days
Bangalore,2024-10-07,High,Weather,Jaipur to Delhi,No Info,1 week
Mumbai,2025-02-14,Low,Weather,Mumbai to Delhi,No Info,3 days
Pune,2025-01-10,High,Infrastructure issues,Chennai to Hyderabad,Check with airlines,3 days
Kolkata,2024-11-13,Low,Infrastructure issues,Hyderabad to Chennai,Check with airlines,3 days
Chennai,2025-05-03,High,Political unrest,Chennai to Jaipur,Avoid non-essential travel,1 day
Kolkata,2025-07-10,Moderate,Weather,Hyderabad to Mumbai,Monitor local news,1 day
Bangalore,2024-10-27,Moderate,Health advisory,Pune to Jaipur,Follow local guidelines,Indefinite
Kolkata,2024-11-26,Severe,Political unrest,Mumbai to Jaipur,Monitor local news,3 days
Bangalore,2024-10-14,Severe,Infrastructure issues,Bangalore to Delhi,Follow local guidelines,3 days
Pune,2025-01-30,Moderate,Political unrest,Jaipur to Delhi,No Info,1 day
Delhi,2025-02-17,Moderate,Infrastructure issues,Kolkata to Pune,Monitor local news,1 day
Kolkata,2025-03-14,Low,Political unrest,Mumbai to Chennai,No Info,3 days
Hyderabad,2024-10-05,Low,Infrastructure issues,Chennai to Pune,Follow local guidelines,3 days
Chennai,2024-10-16,High,Weather,Kolkata to Jaipur,Monitor local news,3 days
Jaipur,2025-05-06,Severe,Security concerns,Kolkata to Chennai,Check with airlines,3 days
Pune,2024-11-22,High,Weather,Pune to Mumbai,Avoid non-essential travel,Indefinite
Pune,2024-10-07,High,Infrastructure issues,Pune to Kolkata,No Info,1 day
Delhi,2025-04-04,Low,Weather,Chennai to Pune,Follow local guidelines,1 day
Mumbai,2025-01-11,Severe,Security concerns,Kolkata to Delhi,Avoid non-essential travel,Indefinite
Kolkata,2025-07-08,Severe,Weather,Hyderabad to Bangalore,Monitor local news,1 day
Chennai,2025-05-10,High,Weather,Pune to Kolkata,Follow local guidelines,1 day
Chennai,2025-03-08,Severe,Weather,Pune to Bangalore,Avoid non-essential travel,1 week
Pune,2025-06-14,High,Political unrest,Pune to Kolkata,Follow local guidelines,1 week
Hyderabad,2025-02-01,High,Weather,Hyderabad to Chennai,Monitor local news,3 days
Hyderabad,2025-01-31,Severe,Political unrest,Mumbai to Delhi,No Info,Indefinite
Jaipur,2024-10-02,High,Weather,Bangalore to Kolkata,Monitor local news,1 day
Chennai,2025-05-11,Low,Health advisory,Mumbai to Hyderabad,No Info,3 days
Mumbai,2025-08-05,Low,Infrastructure issues,Hyderabad to Jaipur,Follow local guidelines,1 day
Kolkata,2025-05-15,Low,Security concerns,Mumbai to Chennai,Avoid non-essential travel,Indefinite
Kolkata,2024-12-28,Severe,Security concerns,Kolkata to Bangalore,Follow local guidelines,1 week
Pune,2024-12-06,Moderate,Security concerns,Bangalore to Mumbai,Avoid non-essential travel,1 day
Bangalore,2025-04-16,High,Infrastructure issues,Jaipur to Delhi,Avoid non-essential travel,1 week
Delhi,2025-04-09,Moderate,Health advisory,Kolkata to Hyderabad,Check with airlines,1 day
Mumbai,2025-06-15,High,Political unrest,Hyderabad to Mumbai,Follow local guidelines,Indefinite
Mumbai,2025-05-11,High,Infrastructure issues,Mumbai to Jaipur,Monitor local news,3 days
Jaipur,2025-05-26,Severe,Health advisory,Mumbai to Pune,Check with airlines,3 days
Hyderabad,2024-10-05,Low,Security concerns,Bangalore to Pune,No Info,Indefinite
Hyderabad,2024-12-27,Severe,Weather,Jaipur to Delhi,Check with airlines,1 week
Pune,2025-06-16,Severe,Political unrest,Hyderabad to Mumbai,No Info,3 days
Delhi,2025-08-09,Low,Infrastructure issues,Chennai to Pune,Avoid non-essential travel,1 week
Kolkata,2025-01-20,High,Health advisory,Jaipur to Kolkata,Follow local guidelines,1 day
Bangalore,2025-02-25,Low,Weather,Pune to Delhi,Avoid non-essential travel,1 day
Bangalore,2025-06-12,Severe,Health advisory,Delhi to Kolkata,Monitor local news,1 week
Chennai,2025-04-30,High,Health advisory,Hyderabad to Bangalore,Check with airlines,1 day
Chennai,2025-04-21,Low,Political unrest,Kolkata to Pune,No Info,Indefinite
Hyderabad,2025-05-24,Low,Infrastructure issues,Chennai to Mumbai,Monitor local news,Indefinite
Pune,2025-08-03,Moderate,Infrastructure issues,Pune to Hyderabad,Avoid non-essential travel,Indefinite
Jaipur,2025-01-17,Low,Political unrest,Mumbai to Kolkata,Avoid non-essential travel,1 day
Chennai,2025-02-02,Low,Infrastructure issues,Delhi to Chennai,Avoid non-essential travel,Indefinite
Pune,2025-08-04,Severe,Infrastructure issues,Chennai to Delhi,Check with airlines,Indefinite
Kolkata,2025-03-02,Low,Infrastructure issues,Hyderabad to Jaipur,Check with airlines,1 week
Delhi,2025-02-27,Moderate,Weather,Mumbai to Kolkata,Monitor local news,3 days
Hyderabad,2024-10-22,Severe,Infrastructure issues,Bangalore to Mumbai,No Info,1 week
Pune,2024-09-04,Moderate,Security concerns,Chennai to Mumbai,Follow local guidelines,Indefinite
Hyderabad,2025-03-11,Low,Health advisory,Pune to Kolkata,Check with airlines,1 day
Delhi,2025-01-13,High,Weather,Bangalore to Hyderabad,Check with airlines,3 days
Pune,2025-07-09,Moderate,Health advisory,Chennai to Bangalore,Avoid non-essential travel,1 week
Mumbai,2025-08-07,High,Weather,Delhi to Hyderabad,Check with airlines,Indefinite
Chennai,2024-10-09,Severe,Infrastructure issues,Hyderabad to Kolkata,Check with airlines,1 day
Jaipur,2024-09-21,Moderate,Weather,Kolkata to Chennai,No Info,1 day
Kolkata,2024-11-30,Severe,Health advisory,Kolkata to Mumbai,Monitor local news,Indefinite
Jaipur,2024-09-19,Low,Weather,Delhi to Bangalore,Monitor local news,3 days
Delhi,2024-09-16,Low,Weather,Jaipur to Delhi,Follow local guidelines,3 days
Kolkata,2025-05-28,Moderate,Weather,Chennai to Hyderabad,Check with airlines,1 day
