Hotel_Name,City,Check_In_Date,Room_Type,Price_Per_Night,Availability_Status,Additional_Info,Check_Out_Date,Total_Nights
The Luxe,Chennai,2024-11-18,Single,11498,Available,No Info,2024-11-20,2
Hotel Grand,Kolkata,2024-09-28,Single,4241,Available,Airport Shuttle,2024-09-30,2
Royal Palace,Bangalore,2024-10-24,Deluxe,7491,Fully Booked,No Info,2024-10-29,5
Royal Palace,Mumbai,2025-03-28,Deluxe,13052,Available,Airport Shuttle,2025-04-02,5
Ocean View,Pune,2025-04-07,Single,13440,Available,Pool Access Included,2025-04-09,2
Royal Palace,Kolkata,2025-06-12,Suite,7208,Available,Breakfast Included,2025-06-14,2
Comfort Stay,Chennai,2024-11-18,Double,2023,Fully Booked,Free Wi-Fi,2024-11-24,6
The Luxe,Bangalore,2024-09-16,Suite,2042,Available,Pool Access Included,2024-09-25,9
Ocean View,Pune,2024-12-05,Suite,9515,Fully Booked,Breakfast Included,2024-12-14,9
City Inn,Jaipur,2025-01-24,Single,3236,Fully Booked,Pool Access Included,2025-01-30,6
Royal Palace,Pune,2025-06-18,Single,14609,Available,Breakfast Included,2025-06-25,7
Mountain Lodge,Chennai,2024-12-11,Double,3401,Available,No Info,2024-12-14,3
City Inn,Mumbai,2025-08-15,Single,3940,Fully Booked,Pool Access Included,2025-08-17,2
Royal Palace,Mumbai,2025-04-20,Suite,3129,Available,Airport Shuttle,2025-04-21,1
Mountain Lodge,Chennai,2025-06-20,Double,8094,Fully Booked,Pool Access Included,2025-06-26,6
Hotel Grand,Kolkata,2025-02-13,Deluxe,12201,Fully Booked,Breakfast Included,2025-02-21,8
Royal Palace,Chennai,2025-01-28,Single,2176,Available,Breakfast Included,2025-02-06,9
Ocean View,Pune,2025-01-12,Deluxe,13948,Available,Breakfast Included,2025-01-16,4
Mountain Lodge,Kolkata,2024-12-14,Double,13271,Fully Booked,Airport Shuttle,2024-12-16,2
City Inn,Hyderabad,2025-04-21,Suite,2991,Available,Airport Shuttle,2025-04-24,3
Ocean View,Hyderabad,2024-09-29,Single,7790,Fully Booked,Airport Shuttle,2024-09-30,1
City Inn,Delhi,2024-11-03,Deluxe,14658,Fully Booked,Airport Shuttle,2024-11-05,2
The Luxe,Mumbai,2024-11-27,Deluxe,13160,Available,No Info,2024-12-05,8
Ocean View,Chennai,2025-05-16,Single,5178,Available,Free Wi-Fi,2025-05-22,6
The Luxe,Pune,2025-04-09,Double,13614,Fully Booked,Airport Shuttle,2025-04-13,4
Hotel Grand,Chennai,2025-06-05,Single,7740,Fully Booked,No Info,2025-06-15,10
Royal Palace,Kolkata,2025-08-21,Deluxe,11950,Fully Booked,No Info,2025-08-22,1
Mountain Lodge,Pune,2024-09-18,Suite,3667,Available,Pool Access Included,2024-09-24,6
Comfort Stay,Hyderabad,2025-05-23,Suite,8222,Fully Booked,Free Wi-Fi,2025-05-31,8
City Inn,Pune,2025-04-02,Single,7032,Available,No Info,2025-04-12,10
Hotel Grand,Mumbai,2025-05-17,Deluxe,13260,Available,Airport Shuttle,2025-05-27,10
City Inn,Jaipur,2024-11-15,Deluxe,9510,Fully Booked,Airport Shuttle,2024-11-19,4
Hotel Grand,Pune,2024-11-30,Double,14134,Available,No Info,2024-12-09,9
Royal Palace,Bangalore,2025-05-21,Single,5289,Fully Booked,Breakfast Included,2025-05-22,1
Royal Palace,Pune,2025-07-22,Double,2355,Fully Booked,Free Wi-Fi,2025-07-29,7
Ocean View,Pune,2025-04-03,Deluxe,5319,Fully Booked,No Info,2025-04-12,9
The Luxe,Bangalore,2025-07-13,Single,7758,Fully Booked,Breakfast Included,2025-07-15,2
City Inn,Pune,2025-07-28,Double,13120,Available,Breakfast Included,2025-08-04,7
City Inn,Hyderabad,2025-01-15,Double,2478,Available,Breakfast Included,2025-01-18,3
Royal Palace,Pune,2025-07-05,Suite,14971,Fully Booked,Pool Access Included,2025-07-10,5
Ocean View,Pune,2024-10-27,Double,11169,Available,Free Wi-Fi,2024-11-05,9
Ocean View,Hyderabad,2025-05-07,Suite,11614,Available,Free Wi-Fi,2025-05-11,4
The Luxe,Pune,2025-07-23,Single,6291,Fully Booked,Free Wi-Fi,2025-07-25,2
The Luxe,Pune,2024-12-21,Single,4832,Available,No Info,2024-12-26,5
Ocean View,Bangalore,2025-06-10,Suite,2508,Fully Booked,No Info,2025-06-16,6
Mountain Lodge,Kolkata,2025-07-05,Deluxe,13251,Available,Pool Access Included,2025-07-06,1
Hotel Grand,Delhi,2025-03-06,Single,4326,Available,Free Wi-Fi,2025-03-09,3
Ocean View,Hyderabad,2025-01-19,Double,12180,Available,Free Wi-Fi,2025-01-21,2
Ocean View,Pune,2025-01-21,Deluxe,14172,Fully Booked,No Info,2025-01-26,5
City Inn,Bangalore,2025-05-08,Double,6693,Fully Booked,Pool Access Included,2025-05-09,1
Mountain Lodge,Kolkata,2025-04-19,Deluxe,12805,Available,Airport Shuttle,2025-04-23,4
Comfort Stay,Delhi,2024-10-26,Double,2472,Fully Booked,Breakfast Included,2024-10-29,3
Hotel Grand,Chennai,2025-05-26,Single,8935,Available,Pool Access Included,2025-06-04,9
Mountain Lodge,Kolkata,2024-09-01,Single,9140,Fully Booked,Breakfast Included,2024-09-07,6
Royal Palace,Mumbai,2025-05-22,Double,6038,Available,Breakfast Included,2025-05-30,8
Royal Palace,Kolkata,2025-05-07,Double,2424,Available,No Info,2025-05-09,2
The Luxe,Delhi,2024-11-20,Single,7509,Fully Booked,Free Wi-Fi,2024-11-29,9
City Inn,Delhi,2024-09-24,Suite,14719,Available,No Info,2024-10-01,7
City Inn,Kolkata,2025-07-25,Double,9564,Available,Free Wi-Fi,2025-07-29,4
Comfort Stay,Mumbai,2025-03-26,Single,11263,Available,Free Wi-Fi,2025-03-29,3
Comfort Stay,Kolkata,2024-09-26,Deluxe,6912,Available,Airport Shuttle,2024-09-28,2
Ocean View,Delhi,2025-08-22,Deluxe,13343,Available,Free Wi-Fi,2025-08-31,9
The Luxe,Pune,2025-07-03,Double,13313,Available,No Info,2025-07-06,3
Royal Palace,Bangalore,2025-07-05,Single,8824,Available,Breakfast Included,2025-07-15,10
City Inn,Pune,2024-12-10,Suite,9135,Available,Pool Access Included,2024-12-13,3
Hotel Grand,Kolkata,2025-07-31,Single,9177,Fully Booked,Airport Shuttle,2025-08-02,2
City Inn,Delhi,2025-08-28,Double,4863,Available,Airport Shuttle,2025-08-31,3
Comfort Stay,Hyderabad,2024-09-20,Suite,8250,Fully Booked,Airport Shuttle,2024-09-25,5
Royal Palace,Bangalore,2025-01-10,Suite,9741,Fully Booked,No Info,2025-01-20,10
Comfort Stay,Bangalore,2025-04-16,Suite,10588,Fully Booked,Airport Shuttle,2025-04-24,8
The Luxe,Chennai,2024-11-02,Suite,10182,Fully Booked,Free Wi-Fi,2024-11-09,7
Comfort Stay,Kolkata,2025-01-16,Double,5856,Fully Booked,Pool Access Included,2025-01-18,2
City Inn,Pune,2025-06-12,Deluxe,5991,Fully Booked,Airport Shuttle,2025-06-20,8
Hotel Grand,Mumbai,2025-03-01,Single,12930,Available,Airport Shuttle,2025-03-08,7
Comfort Stay,Jaipur,2025-06-14,Deluxe,3381,Available,Airport Shuttle,2025-06-16,2
Hotel Grand,Kolkata,2024-10-30,Deluxe,5527,Available,Pool Access Included,2024-11-08,9
City Inn,Delhi,2025-06-20,Single,8472,Fully Booked,Pool Access Included,2025-06-30,10
Mountain Lodge,Bangalore,2024-12-31,Single,13265,Available,Free Wi-Fi,2025-01-01,1
Hotel Grand,Chennai,2025-07-07,Double,13972,Available,Airport Shuttle,2025-07-12,5
Mountain Lodge,Mumbai,2025-02-26,Deluxe,4124,Fully Booked,No Info,2025-03-02,4
Hotel Grand,Mumbai,2024-09-14,Suite,12954,Fully Booked,Airport Shuttle,2024-09-20,6
Ocean View,Kolkata,2025-02-04,Suite,12987,Fully Booked,Airport Shuttle,2025-02-12,8
The Luxe,Hyderabad,2025-08-23,Single,12361,Available,No Info,2025-08-26,3
Hotel Grand,Delhi,2024-11-26,Suite,14284,Fully Booked,Airport Shuttle,2024-12-03,7
Ocean View,Hyderabad,2025-07-31,Deluxe,10946,Fully Booked,Breakfast Included,2025-08-06,6
The Luxe,Jaipur,2024-10-22,Single,6419,Fully Booked,Free Wi-Fi,2024-10-23,1
Comfort Stay,Chennai,2024-11-16,Deluxe,14804,Available,Free Wi-Fi,2024-11-17,1
Ocean View,Jaipur,2025-03-09,Double,13563,Fully Booked,Free Wi-Fi,2025-03-19,10
Comfort Stay,Delhi,2025-01-10,Suite,7572,Fully Booked,Airport Shuttle,2025-01-18,8
Ocean View,Pune,2024-12-03,Deluxe,2633,Available,No Info,2024-12-10,7
Hotel Grand,Hyderabad,2024-12-23,Suite,3595,Fully Booked,Pool Access Included,2024-12-27,4
The Luxe,Kolkata,2024-11-21,Double,6438,Fully Booked,No Info,2024-11-22,1
Ocean View,Pune,2025-05-15,Double,12415,Available,Pool Access Included,2025-05-25,10
Mountain Lodge,Kolkata,2025-05-01,Double,9914,Available,Pool Access Included,2025-05-02,1
The Luxe,Hyderabad,2025-08-06,Single,9728,Available,Breakfast Included,2025-08-10,4
Comfort Stay,Pune,2025-07-25,Deluxe,11732,Fully Booked,Free Wi-Fi,2025-07-27,2
Royal Palace,Bangalore,2025-04-30,Double,13564,Fully Booked,Free Wi-Fi,2025-05-03,3
Hotel Grand,Hyderabad,2024-12-25,Deluxe,11097,Available,Free Wi-Fi,2024-12-31,6
The Luxe,Chennai,2024-09-12,Double,5591,Available,Free Wi-Fi,2024-09-14,2
Hotel Grand,Hyderabad,2024-11-09,Suite,12159,Available,Airport Shuttle,2024-11-15,6
Mountain Lodge,Pune,2024-12-21,Suite,2858,Fully Booked,Free Wi-Fi,2024-12-22,1
City Inn,Chennai,2024-09-21,Deluxe,2646,Fully Booked,No Info,2024-09-27,6
Hotel Grand,Jaipur,2024-10-05,Deluxe,6517,Fully Booked,Airport Shuttle,2024-10-15,10
Hotel Grand,Hyderabad,2025-06-10,Suite,7546,Available,No Info,2025-06-15,5
Royal Palace,Jaipur,2025-05-03,Single,9384,Fully Booked,Pool Access Included,2025-05-08,5
Ocean View,Bangalore,2024-12-16,Suite,5954,Available,Breakfast Included,2024-12-22,6
City Inn,Jaipur,2024-11-14,Deluxe,4820,Available,Pool Access Included,2024-11-20,6
Hotel Grand,Pune,2025-05-15,Single,13694,Available,Free Wi-Fi,2025-05-22,7
The Luxe,Chennai,2025-06-02,Deluxe,9865,Fully Booked,Breakfast Included,2025-06-03,1
Ocean View,Mumbai,2025-08-18,Single,6768,Available,Free Wi-Fi,2025-08-24,6
Royal Palace,Kolkata,2024-09-11,Single,14857,Fully Booked,Pool Access Included,2024-09-13,2
Royal Palace,Chennai,2025-01-31,Single,3125,Available,Breakfast Included,2025-02-03,3
City Inn,Mumbai,2024-11-18,Deluxe,5774,Fully Booked,Breakfast Included,2024-11-21,3
Royal Palace,Delhi,2025-02-09,Single,3654,Fully Booked,Breakfast Included,2025-02-18,9
City Inn,Mumbai,2024-12-08,Single,7378,Available,Airport Shuttle,2024-12-09,1
Royal Palace,Mumbai,2025-08-15,Double,3742,Available,No Info,2025-08-18,3
Comfort Stay,Pune,2024-09-04,Double,3675,Available,Breakfast Included,2024-09-05,1
Mountain Lodge,Jaipur,2025-07-07,Single,10172,Fully Booked,Free Wi-Fi,2025-07-12,5
Comfort Stay,Mumbai,2024-11-20,Deluxe,10498,Fully Booked,Breakfast Included,2024-11-25,5
Comfort Stay,Bangalore,2025-01-06,Suite,13274,Fully Booked,Airport Shuttle,2025-01-14,8
The Luxe,Kolkata,2024-12-23,Single,6716,Fully Booked,No Info,2024-12-29,6
The Luxe,Kolkata,2025-03-08,Deluxe,7139,Fully Booked,Free Wi-Fi,2025-03-13,5
Royal Palace,Hyderabad,2025-06-02,Double,4889,Fully Booked,No Info,2025-06-07,5
The Luxe,Chennai,2025-07-07,Single,9324,Available,Breakfast Included,2025-07-13,6
Hotel Grand,Delhi,2024-12-19,Single,9754,Fully Booked,Free Wi-Fi,2024-12-29,10
Mountain Lodge,Jaipur,2024-12-16,Single,5945,Available,Airport Shuttle,2024-12-19,3
The Luxe,Kolkata,2025-07-21,Single,7726,Available,No Info,2025-07-24,3
The Luxe,Bangalore,2025-05-12,Suite,2488,Available,Pool Access Included,2025-05-18,6
Hotel Grand,Kolkata,2025-02-02,Deluxe,5675,Fully Booked,Airport Shuttle,2025-02-04,2
Comfort Stay,Mumbai,2025-04-22,Deluxe,4775,Fully Booked,Free Wi-Fi,2025-04-29,7
The Luxe,Delhi,2024-11-03,Single,9313,Available,Airport Shuttle,2024-11-05,2
Mountain Lodge,Kolkata,2024-11-15,Suite,3859,Fully Booked,Breakfast Included,2024-11-17,2
Hotel Grand,Mumbai,2025-01-10,Single,3189,Fully Booked,Breakfast Included,2025-01-12,2
Mountain Lodge,Jaipur,2025-03-21,Deluxe,9775,Available,No Info,2025-03-23,2
Ocean View,Mumbai,2024-09-15,Double,9076,Available,Pool Access Included,2024-09-17,2
Mountain Lodge,Jaipur,2025-01-23,Deluxe,2294,Fully Booked,Breakfast Included,2025-01-31,8
Comfort Stay,Mumbai,2025-04-02,Double,3714,Available,Breakfast Included,2025-04-03,1
Comfort Stay,Delhi,2025-04-24,Double,3950,Available,Breakfast Included,2025-04-29,5
City Inn,Bangalore,2025-06-25,Double,8370,Available,Airport Shuttle,2025-06-26,1
Royal Palace,Mumbai,2024-11-09,Double,8025,Fully Booked,No Info,2024-11-19,10
Hotel Grand,Bangalore,2025-04-30,Deluxe,5350,Available,Breakfast Included,2025-05-10,10
City Inn,Pune,2024-09-08,Single,11230,Available,Free Wi-Fi,2024-09-15,7
Mountain Lodge,Kolkata,2024-09-08,Double,5361,Fully Booked,Pool Access Included,2024-09-09,1
Ocean View,Jaipur,2024-11-09,Deluxe,4265,Fully Booked,Free Wi-Fi,2024-11-16,7
Royal Palace,Delhi,2024-09-01,Single,10604,Fully Booked,Pool Access Included,2024-09-05,4
City Inn,Mumbai,2025-07-27,Suite,4889,Available,Free Wi-Fi,2025-07-30,3
City Inn,Chennai,2025-03-30,Double,9123,Fully Booked,Airport Shuttle,2025-04-04,5
The Luxe,Jaipur,2024-12-22,Single,12899,Fully Booked,Free Wi-Fi,2024-12-26,4
Ocean View,Mumbai,2024-11-19,Double,3853,Fully Booked,No Info,2024-11-29,10
City Inn,Kolkata,2024-10-17,Single,14425,Fully Booked,Pool Access Included,2024-10-22,5
Comfort Stay,Jaipur,2025-05-05,Double,14684,Available,Airport Shuttle,2025-05-15,10
Hotel Grand,Mumbai,2025-08-13,Single,11992,Fully Booked,No Info,2025-08-16,3
The Luxe,Mumbai,2025-05-26,Suite,12679,Fully Booked,Airport Shuttle,2025-06-01,6
Ocean View,Jaipur,2024-10-28,Single,9777,Available,Breakfast Included,2024-11-03,6
Royal Palace,Bangalore,2024-10-23,Deluxe,6714,Available,Free Wi-Fi,2024-10-26,3
The Luxe,Mumbai,2025-01-28,Suite,8188,Available,Free Wi-Fi,2025-02-07,10
Mountain Lodge,Hyderabad,2024-12-02,Single,14089,Fully Booked,Free Wi-Fi,2024-12-03,1
Comfort Stay,Pune,2025-03-10,Suite,2024,Available,Pool Access Included,2025-03-16,6
The Luxe,Jaipur,2025-05-17,Single,13707,Available,Airport Shuttle,2025-05-24,7
The Luxe,Chennai,2025-02-07,Single,11616,Fully Booked,Free Wi-Fi,2025-02-14,7
Hotel Grand,Chennai,2024-10-01,Deluxe,9554,Available,Pool Access Included,2024-10-09,8
Royal Palace,Bangalore,2025-06-22,Suite,7188,Fully Booked,Airport Shuttle,2025-06-29,7
The Luxe,Hyderabad,2025-06-18,Deluxe,13268,Fully Booked,Pool Access Included,2025-06-22,4
Comfort Stay,Mumbai,2025-04-24,Double,14524,Fully Booked,Breakfast Included,2025-04-30,6
Ocean View,Hyderabad,2025-05-26,Suite,10132,Available,Free Wi-Fi,2025-05-29,3
City Inn,Pune,2025-06-12,Double,11219,Available,No Info,2025-06-22,10
The Luxe,Delhi,2025-07-22,Suite,9257,Fully Booked,Breakfast Included,2025-07-30,8
City Inn,Mumbai,2025-07-18,Single,12169,Available,Free Wi-Fi,2025-07-23,5
Royal Palace,Chennai,2025-01-22,Suite,3559,Available,No Info,2025-01-30,8
Ocean View,Hyderabad,2025-08-06,Deluxe,2659,Fully Booked,No Info,2025-08-16,10
Hotel Grand,Pune,2024-10-15,Suite,2624,Fully Booked,Breakfast Included,2024-10-25,10
Ocean View,Kolkata,2024-12-08,Deluxe,6800,Available,Breakfast Included,2024-12-14,6
Royal Palace,Bangalore,2025-03-23,Single,10087,Available,Free Wi-Fi,2025-03-24,1
Hotel Grand,Jaipur,2024-12-14,Single,14160,Available,No Info,2024-12-22,8
Hotel Grand,Bangalore,2025-08-12,Double,14097,Available,Breakfast Included,2025-08-14,2
Royal Palace,Chennai,2025-05-18,Suite,2542,Fully Booked,Pool Access Included,2025-05-24,6
Ocean View,Chennai,2025-06-24,Single,11166,Available,No Info,2025-07-03,9
Comfort Stay,Hyderabad,2025-01-29,Double,14603,Fully Booked,Pool Access Included,2025-02-01,3
Mountain Lodge,Hyderabad,2025-06-10,Double,3697,Fully Booked,No Info,2025-06-16,6
The Luxe,Bangalore,2025-06-29,Double,3461,Fully Booked,No Info,2025-07-09,10
Comfort Stay,Mumbai,2025-06-08,Deluxe,4202,Available,Pool Access Included,2025-06-15,7
Hotel Grand,Hyderabad,2025-05-26,Double,2440,Available,Airport Shuttle,2025-05-29,3
Royal Palace,Mumbai,2025-01-17,Deluxe,10301,Fully Booked,Free Wi-Fi,2025-01-23,6
Mountain Lodge,Hyderabad,2024-11-23,Single,12253,Fully Booked,No Info,2024-12-03,10
Royal Palace,Kolkata,2024-10-31,Single,9931,Available,No Info,2024-11-09,9
Comfort Stay,Chennai,2024-11-30,Single,10264,Fully Booked,Airport Shuttle,2024-12-05,5
The Luxe,Pune,2025-07-27,Single,6852,Fully Booked,Breakfast Included,2025-08-03,7
Hotel Grand,Delhi,2025-03-04,Single,4517,Fully Booked,No Info,2025-03-08,4
City Inn,Pune,2025-05-29,Suite,3490,Fully Booked,Airport Shuttle,2025-06-02,4
Royal Palace,Bangalore,2024-11-26,Deluxe,4832,Available,Pool Access Included,2024-11-29,3
The Luxe,Jaipur,2024-12-25,Double,4015,Fully Booked,Airport Shuttle,2025-01-02,8
Mountain Lodge,Jaipur,2024-11-06,Suite,9052,Fully Booked,Free Wi-Fi,2024-11-09,3
Ocean View,Jaipur,2024-10-06,Deluxe,7594,Fully Booked,Free Wi-Fi,2024-10-08,2
Royal Palace,Delhi,2025-06-08,Deluxe,4978,Fully Booked,Breakfast Included,2025-06-16,8
City Inn,Chennai,2025-04-21,Double,8123,Fully Booked,Breakfast Included,2025-04-28,7
Hotel Grand,Pune,2025-08-29,Single,3209,Available,Free Wi-Fi,2025-08-30,1
Mountain Lodge,Chennai,2025-07-29,Suite,9263,Fully Booked,No Info,2025-08-08,10
City Inn,Hyderabad,2024-12-20,Suite,10925,Available,Airport Shuttle,2024-12-25,5
Hotel Grand,Jaipur,2025-02-18,Suite,3277,Available,Breakfast Included,2025-02-21,3
Royal Palace,Delhi,2024-09-27,Suite,8786,Fully Booked,No Info,2024-10-01,4
The Luxe,Hyderabad,2024-09-17,Deluxe,2678,Available,Free Wi-Fi,2024-09-19,2
Mountain Lodge,Kolkata,2025-05-18,Deluxe,7678,Fully Booked,Free Wi-Fi,2025-05-25,7
The Luxe,Kolkata,2025-05-30,Double,7634,Fully Booked,Free Wi-Fi,2025-05-31,1
City Inn,Delhi,2024-12-14,Double,10855,Fully Booked,Airport Shuttle,2024-12-21,7
Ocean View,Bangalore,2024-11-17,Double,4940,Fully Booked,Pool Access Included,2024-11-22,5
Hotel Grand,Pune,2024-12-15,Suite,10568,Fully Booked,No Info,2024-12-16,1
Royal Palace,Chennai,2024-10-21,Suite,11238,Fully Booked,No Info,2024-10-24,3
Ocean View,Bangalore,2024-11-10,Double,14891,Fully Booked,Airport Shuttle,2024-11-20,10
Mountain Lodge,Kolkata,2025-07-31,Double,13747,Fully Booked,No Info,2025-08-01,1
City Inn,Jaipur,2024-09-20,Double,9034,Available,Free Wi-Fi,2024-09-23,3
City Inn,Jaipur,2025-03-21,Deluxe,6844,Fully Booked,No Info,2025-03-23,2
The Luxe,Chennai,2025-08-18,Deluxe,6524,Available,Pool Access Included,2025-08-21,3
Ocean View,Kolkata,2024-12-12,Double,4391,Fully Booked,No Info,2024-12-21,9
Comfort Stay,Jaipur,2025-02-13,Suite,8571,Fully Booked,Breakfast Included,2025-02-15,2
The Luxe,Kolkata,2025-07-19,Deluxe,3929,Fully Booked,Breakfast Included,2025-07-25,6
Royal Palace,Bangalore,2025-06-02,Single,2298,Available,Breakfast Included,2025-06-12,10
Comfort Stay,Hyderabad,2025-04-25,Single,7026,Fully Booked,Free Wi-Fi,2025-04-27,2
Hotel Grand,Kolkata,2025-03-22,Deluxe,4043,Available,Breakfast Included,2025-03-28,6
City Inn,Pune,2025-01-14,Deluxe,8208,Available,Pool Access Included,2025-01-15,1
The Luxe,Chennai,2025-08-07,Single,3824,Available,Airport Shuttle,2025-08-10,3
Comfort Stay,Mumbai,2025-08-23,Double,13210,Available,Breakfast Included,2025-09-01,9
Comfort Stay,Jaipur,2025-08-13,Suite,11708,Available,Free Wi-Fi,2025-08-18,5
Hotel Grand,Mumbai,2025-05-07,Deluxe,8532,Available,No Info,2025-05-08,1
Comfort Stay,Pune,2024-09-07,Double,10327,Available,Pool Access Included,2024-09-10,3
Mountain Lodge,Chennai,2025-06-01,Double,13048,Available,Breakfast Included,2025-06-09,8
Comfort Stay,Hyderabad,2025-03-23,Suite,11544,Available,No Info,2025-04-01,9
Comfort Stay,Pune,2024-12-24,Single,8926,Available,Pool Access Included,2024-12-25,1
City Inn,Bangalore,2025-01-05,Single,4783,Fully Booked,No Info,2025-01-12,7
Ocean View,Pune,2024-10-05,Double,10550,Fully Booked,Airport Shuttle,2024-10-14,9
The Luxe,Pune,2024-10-20,Single,11271,Available,Airport Shuttle,2024-10-24,4
Royal Palace,Pune,2025-01-14,Deluxe,4310,Fully Booked,Breakfast Included,2025-01-19,5
Mountain Lodge,Chennai,2025-03-01,Suite,11579,Available,Breakfast Included,2025-03-09,8
Hotel Grand,Hyderabad,2024-11-23,Double,10725,Fully Booked,Breakfast Included,2024-11-27,4
Comfort Stay,Hyderabad,2024-11-11,Deluxe,2538,Available,Breakfast Included,2024-11-19,8
Ocean View,Chennai,2025-03-28,Deluxe,14266,Available,Free Wi-Fi,2025-04-06,9
Comfort Stay,Kolkata,2025-06-18,Single,9452,Fully Booked,Free Wi-Fi,2025-06-20,2
Ocean View,Bangalore,2024-12-31,Single,9344,Available,Pool Access Included,2025-01-10,10
City Inn,Pune,2025-03-13,Double,14960,Available,Airport Shuttle,2025-03-15,2
Comfort Stay,Hyderabad,2024-09-05,Single,8962,Available,No Info,2024-09-08,3
Ocean View,Mumbai,2024-10-23,Single,14606,Fully Booked,No Info,2024-10-28,5
Comfort Stay,Kolkata,2025-05-17,Deluxe,3027,Available,Pool Access Included,2025-05-22,5
City Inn,Mumbai,2025-06-14,Deluxe,5452,Fully Booked,No Info,2025-06-16,2
Mountain Lodge,Bangalore,2024-11-10,Single,13442,Available,Free Wi-Fi,2024-11-16,6
Royal Palace,Jaipur,2025-02-17,Single,2954,Available,Breakfast Included,2025-02-18,1
Comfort Stay,Jaipur,2025-07-14,Double,14914,Available,Free Wi-Fi,2025-07-23,9
Comfort Stay,Pune,2025-07-17,Deluxe,11822,Available,Free Wi-Fi,2025-07-22,5
Mountain Lodge,Hyderabad,2025-08-03,Single,2814,Fully Booked,Breakfast Included,2025-08-12,9
Royal Palace,Pune,2025-05-25,Single,7118,Fully Booked,Breakfast Included,2025-05-31,6
Hotel Grand,Pune,2025-01-19,Double,11399,Fully Booked,No Info,2025-01-29,10
The Luxe,Pune,2024-12-25,Suite,11485,Available,Free Wi-Fi,2025-01-03,9
Hotel Grand,Kolkata,2025-02-24,Suite,14540,Available,Breakfast Included,2025-03-03,7
Comfort Stay,Pune,2024-10-01,Double,14808,Fully Booked,Pool Access Included,2024-10-02,1
Ocean View,Pune,2025-08-29,Double,9351,Fully Booked,Free Wi-Fi,2025-09-04,6
Royal Palace,Hyderabad,2025-08-09,Suite,7168,Available,Pool Access Included,2025-08-10,1
The Luxe,Jaipur,2025-03-23,Double,8386,Available,Free Wi-Fi,2025-04-02,10
Comfort Stay,Delhi,2025-01-26,Double,8631,Available,Free Wi-Fi,2025-01-28,2
Ocean View,Mumbai,2024-11-16,Double,12387,Fully Booked,Pool Access Included,2024-11-19,3
Royal Palace,Chennai,2025-03-23,Suite,10752,Fully Booked,Breakfast Included,2025-03-30,7
Comfort Stay,Jaipur,2025-06-21,Double,2117,Fully Booked,No Info,2025-06-23,2
Ocean View,Bangalore,2025-05-27,Deluxe,6441,Available,Breakfast Included,2025-06-01,5
Ocean View,Mumbai,2025-07-02,Deluxe,14317,Available,Free Wi-Fi,2025-07-03,1
The Luxe,Pune,2025-03-26,Suite,13702,Available,Pool Access Included,2025-03-31,5
Ocean View,Bangalore,2025-07-13,Deluxe,8444,Fully Booked,Pool Access Included,2025-07-19,6
Ocean View,Pune,2025-02-18,Deluxe,12758,Fully Booked,Free Wi-Fi,2025-02-20,2
Comfort Stay,Chennai,2024-11-04,Deluxe,13443,Available,Pool Access Included,2024-11-07,3
Mountain Lodge,Pune,2024-10-20,Single,3654,Fully Booked,Free Wi-Fi,2024-10-28,8
Ocean View,Kolkata,2025-07-17,Suite,5038,Fully Booked,Free Wi-Fi,2025-07-22,5
Mountain Lodge,Chennai,2025-04-02,Double,6578,Available,Pool Access Included,2025-04-03,1
Comfort Stay,Mumbai,2025-08-11,Single,11997,Fully Booked,Pool Access Included,2025-08-16,5
City Inn,Kolkata,2024-10-12,Suite,14660,Fully Booked,Free Wi-Fi,2024-10-21,9
Hotel Grand,Jaipur,2024-09-11,Deluxe,11867,Fully Booked,Airport Shuttle,2024-09-19,8
City Inn,Bangalore,2025-01-16,Single,14613,Fully Booked,Free Wi-Fi,2025-01-25,9
The Luxe,Chennai,2025-01-08,Suite,13434,Fully Booked,No Info,2025-01-11,3
Comfort Stay,Pune,2024-11-24,Single,14517,Fully Booked,No Info,2024-11-30,6
Comfort Stay,Pune,2024-09-23,Deluxe,7428,Fully Booked,Breakfast Included,2024-10-01,8
Comfort Stay,Jaipur,2024-12-17,Single,14043,Available,Breakfast Included,2024-12-27,10
City Inn,Kolkata,2025-03-18,Double,12016,Fully Booked,Free Wi-Fi,2025-03-21,3
Hotel Grand,Hyderabad,2025-02-11,Suite,3182,Available,No Info,2025-02-14,3
Mountain Lodge,Delhi,2024-09-07,Single,13124,Available,Airport Shuttle,2024-09-14,7
Ocean View,Bangalore,2024-10-26,Double,11197,Fully Booked,Breakfast Included,2024-10-30,4
Ocean View,Chennai,2024-12-24,Deluxe,7643,Fully Booked,Breakfast Included,2024-12-26,2
The Luxe,Bangalore,2025-03-04,Single,11269,Fully Booked,Airport Shuttle,2025-03-11,7
Ocean View,Bangalore,2025-08-15,Deluxe,10807,Fully Booked,Breakfast Included,2025-08-25,10
Hotel Grand,Pune,2024-10-30,Double,11093,Available,Pool Access Included,2024-11-08,9
Comfort Stay,Jaipur,2025-07-25,Deluxe,9201,Fully Booked,Airport Shuttle,2025-08-04,10
The Luxe,Pune,2025-07-29,Suite,7431,Fully Booked,Airport Shuttle,2025-08-08,10
Hotel Grand,Pune,2024-11-21,Double,6853,Fully Booked,No Info,2024-11-28,7
Comfort Stay,Chennai,2025-05-27,Suite,4658,Fully Booked,No Info,2025-06-05,9
